223212	COG0134
223213	COG0135
223210	COG0132
223211	COG0133
223216	COG0138
223217	COG0139
223214	COG0136
223215	COG0137
226753	COG4303
226022	COG3491
223218	COG0140
223219	COG0141
226504	COG4017
227911	COG5624
226023	COG3492
226541	COG4055
226020	COG3489
226200	COG3675
226021	COG3490
224424	COG1507
224425	COG1508
224426	COG1509
224427	COG1510
224420	COG1503
224421	COG1504
224422	COG1505
224423	COG1506
227910	COG5623
224428	COG1511
224429	COG1512
226540	COG4054
227087	COG4744
227086	COG4743
227913	COG5626
226543	COG4057
225728	COG3187
227084	COG4741
225874	COG3337
223328	COG0250
223329	COG0251
223326	COG0248
223327	COG0249
223324	COG0246
223325	COG0247
223322	COG0244
223323	COG0245
223320	COG0242
223321	COG0243
227528	COG5201
227529	COG5202
227838	COG5551
225941	COG3407
227524	COG5197
227525	COG5198
227526	COG5199
227080	COG4737
227520	COG5193
227521	COG5194
227522	COG5195
225729	COG3188
224330	COG1412
224331	COG1413
224332	COG1414
224333	COG1415
224334	COG1416
224335	COG1417
224336	COG1418
224337	COG1419
224338	COG1420
224339	COG1421
227518	COG5191
224503	COG1587
224936	COG2025
224937	COG2026
224934	COG2023
224935	COG2024
224932	COG2021
224933	COG2022
224930	COG2019
224931	COG2020
227088	COG4745
227841	COG5554
224938	COG2027
224939	COG2028
227788	COG5501
227789	COG5502
227840	COG5553
227671	COG5380
227780	COG5493
226111	COG3583
227782	COG5495
225631	COG3089
227784	COG5497
224502	COG1586
227786	COG5499
227787	COG5500
227238	COG4901
227239	COG4902
225611	COG3069
226156	COG3629
227230	COG4893
227231	COG4894
227232	COG4895
227233	COG4896
227234	COG4897
227235	COG4898
227236	COG4899
227237	COG4900
227010	COG4664
227011	COG4665
227012	COG4666
227013	COG4667
227014	COG4668
227015	COG4669
227016	COG4670
227017	COG4671
227018	COG4672
227019	COG4674
227882	COG5595
227679	COG5389
223146	COG0068
223147	COG0069
223144	COG0066
223145	COG0067
223142	COG0064
223143	COG0065
223140	COG0062
223141	COG0063
225875	COG3338
223148	COG0070
223149	COG0071
227304	COG4969
227305	COG4970
226073	COG3543
227307	COG4973
227300	COG4965
227301	COG4966
227302	COG4967
227303	COG4968
227776	COG5489
227308	COG4974
227309	COG4975
227658	COG5360
227659	COG5361
227477	COG5148
227827	COG5540
225041	COG2130
223449	COG0372
223448	COG0371
223443	COG0366
223442	COG0365
223441	COG0364
223440	COG0363
223447	COG0370
223446	COG0369
223445	COG0368
223444	COG0367
225992	COG3461
227826	COG5539
225012	COG2101
226137	COG3610
227488	COG5159
225013	COG2102
226233	COG3710
224505	COG1589
225010	COG2099
226232	COG3709
225011	COG2100
226983	COG4636
223537	COG0461
223536	COG0460
223535	COG0459
223534	COG0458
223533	COG0457
223532	COG0456
223531	COG0455
223530	COG0454
226237	COG3714
225616	COG3074
227109	COG4768
224545	COG1630
223539	COG0463
223538	COG0462
223847	COG0776
223846	COG0775
223845	COG0774
223844	COG0773
223843	COG0772
223842	COG0771
223841	COG0770
223840	COG0769
226440	COG3930
224543	COG1628
225136	COG2226
224692	COG1778
223849	COG0778
223848	COG0777
226989	COG4642
226477	COG3968
224541	COG1626
226988	COG4641
224540	COG1625
226239	COG3716
227823	COG5536
225876	COG3339
226238	COG3715
226789	COG4339
225618	COG3076
226787	COG4337
226786	COG4336
226785	COG4335
226784	COG4334
226783	COG4333
226782	COG4332
226781	COG4331
226780	COG4330
226950	COG4584
227822	COG5535
225478	COG2926
225479	COG2927
226301	COG3778
226300	COG3777
226307	COG3784
225619	COG3077
226305	COG3782
226304	COG3781
225470	COG2918
225471	COG2919
225472	COG2920
225473	COG2921
225474	COG2922
225475	COG2923
225476	COG2924
225477	COG2925
226493	COG4004
226492	COG4003
226491	COG4002
226490	COG4001
226497	COG4009
226496	COG4008
226495	COG4007
225995	COG3464
226499	COG4012
226498	COG4010
226879	COG4473
226878	COG4472
227947	COG5660
226871	COG4465
226870	COG4464
226873	COG4467
226872	COG4466
226875	COG4469
226874	COG4468
226877	COG4471
226876	COG4470
225782	COG3242
225783	COG3243
224659	COG1745
224658	COG1744
225786	COG3247
225787	COG3248
225784	COG3245
225785	COG3246
224653	COG1739
224652	COG1738
224651	COG1737
224650	COG1736
224657	COG1743
224656	COG1742
224655	COG1741
224654	COG1740
225272	COG2409
225273	COG2410
225270	COG2406
225271	COG2407
225276	COG2413
225277	COG2414
225274	COG2411
225275	COG2412
226624	COG4143
225278	COG2419
225279	COG2421
227506	COG5179
226337	COG3816
225617	COG3075
227934	COG5647
226626	COG4146
226279	COG3756
226278	COG3755
226277	COG3754
226276	COG3753
226275	COG3752
226274	COG3751
